Text	Annotator 1	Annotator 2	Annotator 3	Annotator 4	Annotator 5	Annotator 6	Annotator 7
"Nice day."	0	0	0	0	0	0	0
"You idiot!"	2	3	2	3	2	3	3
"What the hell!"	1	2	1	2	1	2	2
"Perfect day."	0	0	0	0	0	0	0
"Shut up, you jerk!"	4	5	4	5	4	5	5
"Absolutely wonderful!"	0	0	0	0	0	0	0
"Terrible experience!"	3	4	3	4	3	4	4
"I love this!"	0	0	0	0	0	0	0
"Disgusting behavior!"	4	5	4	5	4	5	5
"Fantastic!"	0	0	0	0	0	0	0
"That was so rude."	3	4	3	4	3	4	4
"Awful!"	4	5	4	5	4	5	5
"Such a great time."	0	0	0	0	0	0	0
"You're the worst!"	3	4	3	4	3	4	4
"Unbelievably bad!"	4	5	4	5	4	5	5
